"大字町丁目コード","地域名"
"011010020003","北海道札幌市中央区北三条西三丁目"
"011010020004","北海道札幌市中央区北三条西四丁目"
"011010022003","北海道札幌市中央区北四条西三丁目"
"011010022004","北海道札幌市中央区北四条西四丁目"
"011010022005","北海道札幌市中央区北四条西五丁目"
"011010022006","北海道札幌市中央区北四条西六丁目"
"011010022007","北海道札幌市中央区北四条西七丁目"
"011010022008","北海道札幌市中央区北四条西八丁目"
"011010022009","北海道札幌市中央区北四条西九丁目"
"011010023001","北海道札幌市中央区北四条東一丁目"
"011010024001","北海道札幌市中央区北五条西一丁目"
"011010024002","北海道札幌市中央区北五条西二丁目"
"011010024003","北海道札幌市中央区北五条西三丁目"
"011010024004","北海道札幌市中央区北五条西四丁目"
"011010024005","北海道札幌市中央区北五条西五丁目"
"011010024006","北海道札幌市中央区北五条西六丁目"
"011010024007","北海道札幌市中央区北五条西七丁目"
"011010024008","北海道札幌市中央区北五条西八丁目"
"011010024009","北海道札幌市中央区北五条西九丁目"
"011010025001","北海道札幌市中央区北五条東一丁目"
"011010025002","北海道札幌市中央区北五条東二丁目"
"011010026010","北海道札幌市中央区北六条西十丁目"
"011020006003","北海道札幌市北区麻生町三丁目"
"011020006007","北海道札幌市北区麻生町七丁目"
"011020006008","北海道札幌市北区麻生町八丁目"
"011020006009","北海道札幌市北区麻生町九丁目"
"011020007001","北海道札幌市北区北十条西一丁目"
"011020007002","北海道札幌市北区北十条西二丁目"
"011020007003","北海道札幌市北区北十条西三丁目"
"011020007004","北海道札幌市北区北十条西四丁目"
"011020007005","北海道札幌市北区北十条西五丁目"
"011020007006","北海道札幌市北区北十条西六丁目"
"011020007007","北海道札幌市北区北十条西七丁目"
"011020007008","北海道札幌市北区北十条西八丁目"
"011020008001","北海道札幌市北区北十一条西一丁目"
"011020008002","北海道札幌市北区北十一条西二丁目"
"011020008003","北海道札幌市北区北十一条西三丁目"
"011020008004","北海道札幌市北区北十一条西四丁目"
"011020008005","北海道札幌市北区北十一条西五丁目"
"011020008006","北海道札幌市北区北十一条西六丁目"
"011020008007","北海道札幌市北区北十一条西七丁目"
"011020008008","北海道札幌市北区北十一条西八丁目"
"011020009001","北海道札幌市北区北十二条西一丁目"
"011020009002","北海道札幌市北区北十二条西二丁目"
"011020009003","北海道札幌市北区北十二条西三丁目"
"011020009004","北海道札幌市北区北十二条西四丁目"
"011020009005","北海道札幌市北区北十二条西五丁目"
"011020009006","北海道札幌市北区北十二条西六丁目"
"011020009007","北海道札幌市北区北十二条西七丁目"
"011020009008","北海道札幌市北区北十二条西八丁目"
"011020010001","北海道札幌市北区北十三条西一丁目"
"011020010002","北海道札幌市北区北十三条西二丁目"
"011020010003","北海道札幌市北区北十三条西三丁目"
"011020010004","北海道札幌市北区北十三条西四丁目"
"011020010005","北海道札幌市北区北十三条西五丁目"
"011020010007","北海道札幌市北区北十三条西七丁目"
"011020011001","北海道札幌市北区北十四条西一丁目"
"011020011002","北海道札幌市北区北十四条西二丁目"
"011020011003","北海道札幌市北区北十四条西三丁目"
"011020011004","北海道札幌市北区北十四条西四丁目"
"011020011005","北海道札幌市北区北十四条西五丁目"
"011020012001","北海道札幌市北区北十五条西一丁目"
"011020012002","北海道札幌市北区北十五条西二丁目"
"011020012003","北海道札幌市北区北十五条西三丁目"
"011020012004","北海道札幌市北区北十五条西四丁目"
"011020012005","北海道札幌市北区北十五条西五丁目"
"011020013002","北海道札幌市北区北十六条西二丁目"
"011020034002","北海道札幌市北区北三十七条西二丁目"
"011020034003","北海道札幌市北区北三十七条西三丁目"
"011020038001","北海道札幌市北区北六条西一丁目"
"011020038002","北海道札幌市北区北六条西二丁目"
"011020038003","北海道札幌市北区北六条西三丁目"
"011020038004","北海道札幌市北区北六条西四丁目"
"011020038005","北海道札幌市北区北六条西五丁目"
"011020038006","北海道札幌市北区北六条西六丁目"
"011020038007","北海道札幌市北区北六条西七丁目"
