"都道府県&市区町村コード","地域名"
"0101101","北海道札幌市中央区"
"0101102","北海道札幌市北区"
"0101103","北海道札幌市東区"
"0101104","北海道札幌市白石区"
"0101105","北海道札幌市豊平区"
"0101106","北海道札幌市南区"
"0101107","北海道札幌市西区"
"0101108","北海道札幌市厚別区"
"0101109","北海道札幌市手稲区"
"0101110","北海道札幌市清田区"
"0101202","北海道函館市"
"0101203","北海道小樽市"
"0101205","北海道室蘭市"
"0101207","北海道帯広市"
"0101217","北海道江別市"
"0101235","北海道石狩市"
"0101236","北海道北斗市"
"0101337","北海道亀田郡七飯町"
"0101637","北海道河西郡芽室町"
"0101643","北海道中川郡幕別町"
"0404101","宮城県仙台市青葉区"
"0505201","秋田県秋田市"
"0606201","山形県山形市"
"0606301","山形県東村山郡山辺町"
"1111101","埼玉県さいたま市西区"
"1111102","埼玉県さいたま市北区"
"1111103","埼玉県さいたま市大宮区"
"1111104","埼玉県さいたま市見沼区"
"1111105","埼玉県さいたま市中央区"
"1111106","埼玉県さいたま市桜区"
"1111107","埼玉県さいたま市浦和区"
"1111108","埼玉県さいたま市南区"
"1111109","埼玉県さいたま市緑区"
"1111110","埼玉県さいたま市岩槻区"
"1111201","埼玉県川越市"
"1111203","埼玉県川口市"
"1111208","埼玉県所沢市"
"1111214","埼玉県春日部市"
"1111219","埼玉県上尾市"
"1111221","埼玉県草加市"
"1111222","埼玉県越谷市"
"1111223","埼玉県蕨市"
"1111224","埼玉県戸田市"
"1111227","埼玉県朝霞市"
"1111228","埼玉県志木市"
"1111229","埼玉県和光市"
"1111230","埼玉県新座市"
"1111232","埼玉県久喜市"
"1111234","埼玉県八潮市"
"1111235","埼玉県富士見市"
"1111237","埼玉県三郷市"
"1111238","埼玉県蓮田市"
"1111243","埼玉県吉川市"
"1111245","埼玉県ふじみ野市"
"1111246","埼玉県白岡市"
"1111301","埼玉県北足立郡伊奈町"
"1111324","埼玉県入間郡三芳町"
"1111346","埼玉県比企郡川島町"
"1111442","埼玉県南埼玉郡宮代町"
"1111464","埼玉県北葛飾郡杉戸町"
"1111465","埼玉県北葛飾郡松伏町"
"1212101","千葉県千葉市中央区"
"1212102","千葉県千葉市花見川区"
"1212103","千葉県千葉市稲毛区"
"1212104","千葉県千葉市若葉区"
"1212105","千葉県千葉市緑区"
"1212106","千葉県千葉市美浜区"
"1212203","千葉県市川市"
"1212204","千葉県船橋市"
"1212207","千葉県松戸市"
"1212212","千葉県佐倉市"
"1212216","千葉県習志野市"
"1212217","千葉県柏市"
"1212219","千葉県市原市"
"1212220","千葉県流山市"
"1212221","千葉県八千代市"
"1212224","千葉県鎌ヶ谷市"
"1212227","千葉県浦安市"
"1212228","千葉県四街道市"
"1212231","千葉県印西市"
"1212232","千葉県白井市"
"1313101","東京都千代田区"
"1313102","東京都中央区"
"1313103","東京都港区"
"1313104","東京都新宿区"
"1313105","東京都文京区"
"1313106","東京都台東区"
"1313107","東京都墨田区"
"1313108","東京都江東区"
"1313109","東京都品川区"
"1313110","東京都目黒区"
"1313111","東京都大田区"
"1313112","東京都世田谷区"
"1313113","東京都渋谷区"
"1313114","東京都中野区"
"1313115","東京都杉並区"
"1313116","東京都豊島区"
"1313117","東京都北区"
"1313118","東京都荒川区"
"1313119","東京都板橋区"
"1313120","東京都練馬区"
"1313121","東京都足立区"
"1313122","東京都葛飾区"
"1313123","東京都江戸川区"
"1313203","東京都武蔵野市"
"1313204","東京都三鷹市"
"1313206","東京都府中市"
"1313208","東京都調布市"
"1313209","東京都町田市"
"1313210","東京都小金井市"
"1313211","東京都小平市"
"1313215","東京都国立市"
"1313219","東京都狛江市"
"1313221","東京都清瀬市"
"1313222","東京都東久留米市"
"1313225","東京都稲城市"
"1313229","東京都西東京市"
"1414101","神奈川県横浜市鶴見区"
"1414102","神奈川県横浜市神奈川区"
"1414103","神奈川県横浜市西区"
"1414104","神奈川県横浜市中区"
"1414105","神奈川県横浜市南区"
"1414106","神奈川県横浜市保土ケ谷区"
"1414107","神奈川県横浜市磯子区"
"1414108","神奈川県横浜市金沢区"
"1414109","神奈川県横浜市港北区"
"1414112","神奈川県横浜市旭区"
"1414113","神奈川県横浜市緑区"
"1414118","神奈川県横浜市都筑区"
"1414131","神奈川県川崎市川崎区"
"1414132","神奈川県川崎市幸区"
"1414133","神奈川県川崎市中原区"
"1414134","神奈川県川崎市高津区"
"1414135","神奈川県川崎市多摩区"
"1414136","神奈川県川崎市宮前区"
"1414137","神奈川県川崎市麻生区"
"1414151","神奈川県相模原市緑区"
"1414152","神奈川県相模原市中央区"
"1515101","新潟県新潟市北区"
"1515102","新潟県新潟市東区"
"1515205","新潟県柏崎市"
"1515504","新潟県刈羽郡刈羽村"
"1616201","富山県富山市"
"1616211","富山県射水市"
"2020201","長野県長野市"
"2323101","愛知県名古屋市千種区"
"2323102","愛知県名古屋市東区"
"2323103","愛知県名古屋市北区"
"2323104","愛知県名古屋市西区"
"2323105","愛知県名古屋市中村区"
"2323106","愛知県名古屋市中区"
"2323107","愛知県名古屋市昭和区"
"2323108","愛知県名古屋市瑞穂区"
"2323109","愛知県名古屋市熱田区"
"2323110","愛知県名古屋市中川区"
"2323111","愛知県名古屋市港区"
"2323112","愛知県名古屋市南区"
"2323113","愛知県名古屋市守山区"
"2323114","愛知県名古屋市緑区"
"2323115","愛知県名古屋市名東区"
"2323116","愛知県名古屋市天白区"
"2323203","愛知県一宮市"
"2323204","愛知県瀬戸市"
"2323206","愛知県春日井市"
"2323208","愛知県津島市"
"2323210","愛知県刈谷市"
"2323219","愛知県小牧市"
"2323220","愛知県稲沢市"
"2323222","愛知県東海市"
"2323223","愛知県大府市"
"2323224","愛知県知多市"
"2323226","愛知県尾張旭市"
"2323228","愛知県岩倉市"
"2323229","愛知県豊明市"
"2323230","愛知県日進市"
"2323232","愛知県愛西市"
"2323233","愛知県清須市"
"2323234","愛知県北名古屋市"
"2323235","愛知県弥富市"
"2323236","愛知県みよし市"
"2323237","愛知県あま市"
"2323238","愛知県長久手市"
"2323302","愛知県愛知郡東郷町"
"2323342","愛知県西春日井郡豊山町"
"2323361","愛知県丹羽郡大口町"
"2323424","愛知県海部郡大治町"
"2323425","愛知県海部郡蟹江町"
"2323427","愛知県海部郡飛島村"
"2424202","三重県四日市市"
"2424205","三重県桑名市"
"2424303","三重県桑名郡木曽岬町"
"2525202","滋賀県彦根市"
"2525213","滋賀県東近江市"
"2626101","京都府京都市北区"
"2626102","京都府京都市上京区"
"2626103","京都府京都市左京区"
"2626104","京都府京都市中京区"
"2626105","京都府京都市東山区"
"2626106","京都府京都市下京区"
"2626107","京都府京都市南区"
"2626108","京都府京都市右京区"
"2626109","京都府京都市伏見区"
"2626110","京都府京都市山科区"
"2626111","京都府京都市西京区"
"2626208","京都府向日市"
"2626209","京都府長岡京市"
"2727102","大阪府大阪市都島区"
"2727103","大阪府大阪市福島区"
"2727104","大阪府大阪市此花区"
"2727106","大阪府大阪市西区"
"2727107","大阪府大阪市港区"
"2727108","大阪府大阪市大正区"
"2727109","大阪府大阪市天王寺区"
"2727111","大阪府大阪市浪速区"
"2727113","大阪府大阪市西淀川区"
"2727114","大阪府大阪市東淀川区"
"2727115","大阪府大阪市東成区"
"2727116","大阪府大阪市生野区"
"2727117","大阪府大阪市旭区"
"2727118","大阪府大阪市城東区"
"2727119","大阪府大阪市阿倍野区"
"2727120","大阪府大阪市住吉区"
"2727121","大阪府大阪市東住吉区"
"2727122","大阪府大阪市西成区"
"2727123","大阪府大阪市淀川区"
"2727124","大阪府大阪市鶴見区"
"2727125","大阪府大阪市住之江区"
"2727126","大阪府大阪市平野区"
"2727127","大阪府大阪市北区"
"2727128","大阪府大阪市中央区"
"2727141","大阪府堺市堺区"
"2727143","大阪府堺市東区"
"2727144","大阪府堺市西区"
"2727146","大阪府堺市北区"
"2727147","大阪府堺市美原区"
"2727203","大阪府豊中市"
"2727204","大阪府池田市"
"2727205","大阪府吹田市"
"2727207","大阪府高槻市"
"2727209","大阪府守口市"
"2727210","大阪府枚方市"
"2727211","大阪府茨木市"
"2727212","大阪府八尾市"
